18S_rRNA	18S_rRNA.1	DOID:9643	Babesiosis	7.225	3.612	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9643
ENSP00000419124	FAM107A	DOID:1612	Breast cancer	2.143	1.071	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419124&type2=-26&id2=DOID:1612
ENSP00000419126	C10orf88	DOID:1612	Breast cancer	1.098	0.549	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419126&type2=-26&id2=DOID:1612
ENSP00000419153	ZBTB20	DOID:1612	Breast cancer	2.848	1.424	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419153&type2=-26&id2=DOID:1612
ENSP00000419162	WDR86	DOID:1612	Breast cancer	1.412	0.706	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419162&type2=-26&id2=DOID:1612
ENSP00000419184	SMYD3	DOID:1612	Breast cancer	4.332	2.166	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419184&type2=-26&id2=DOID:1612
ENSP00000419185	ONECUT2	DOID:1612	Breast cancer	3.610	1.805	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419185&type2=-26&id2=DOID:1612
ENSP00000419194	MSMP	DOID:1612	Breast cancer	2.051	1.026	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419194&type2=-26&id2=DOID:1612
ENSP00000419195	CAMKV	DOID:1612	Breast cancer	1.238	0.619	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419195&type2=-26&id2=DOID:1612
ENSP00000419235	TCAF1	DOID:1612	Breast cancer	1.332	0.666	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419235&type2=-26&id2=DOID:1612
ENSP00000419243	FXN	DOID:1612	Breast cancer	2.367	1.184	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419243&type2=-26&id2=DOID:1612
ENSP00000419249	RIIAD1	DOID:1612	Breast cancer	1.447	0.723	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419249&type2=-26&id2=DOID:1612
ENSP00000419260	PIK3CG	DOID:1612	Breast cancer	7.640	3.820	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419260&type2=-26&id2=DOID:1612
ENSP00000419266	EVX1	DOID:1612	Breast cancer	1.796	0.898	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419266&type2=-26&id2=DOID:1612
ENSP00000419298	POU5F1B	DOID:1612	Breast cancer	3.576	1.788	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419298&type2=-26&id2=DOID:1612
ENSP00000419313	TRPC1	DOID:1612	Breast cancer	3.923	1.962	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419313&type2=-26&id2=DOID:1612
ENSP00000419325	SUCLG2	DOID:1612	Breast cancer	3.349	1.675	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419325&type2=-26&id2=DOID:1612
ENSP00000419361	ADCY5	DOID:1612	Breast cancer	2.493	1.246	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419361&type2=-26&id2=DOID:1612
ENSP00000419371	AZI2	DOID:1612	Breast cancer	1.596	0.798	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419371&type2=-26&id2=DOID:1612
ENSP00000419377	ZNF717	DOID:1612	Breast cancer	1.792	0.896	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419377&type2=-26&id2=DOID:1612
ENSP00000419378	CLIC3	DOID:1612	Breast cancer	3.262	1.631	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419378&type2=-26&id2=DOID:1612
ENSP00000419411	GCNT2	DOID:1612	Breast cancer	3.304	1.652	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419411&type2=-26&id2=DOID:1612
ENSP00000419412	SLC4A2	DOID:1612	Breast cancer	2.085	1.043	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419412&type2=-26&id2=DOID:1612
ENSP00000419413	ARMC8	DOID:1612	Breast cancer	2.484	1.242	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419413&type2=-26&id2=DOID:1612
ENSP00000419425	PPIA	DOID:1612	Breast cancer	3.957	1.978	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419425&type2=-26&id2=DOID:1612
ENSP00000419446	ADAM9	DOID:1612	Breast cancer	4.327	2.164	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419446&type2=-26&id2=DOID:1612
ENSP00000419449	EIF1	DOID:1612	Breast cancer	3.070	1.535	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419449&type2=-26&id2=DOID:1612
ENSP00000419454	RNF183	DOID:1612	Breast cancer	1.710	0.855	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419454&type2=-26&id2=DOID:1612
ENSP00000419457	NOBOX	DOID:1612	Breast cancer	1.900	0.950	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419457&type2=-26&id2=DOID:1612
ENSP00000419465	WWTR1	DOID:1612	Breast cancer	4.233	2.117	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419465&type2=-26&id2=DOID:1612
ENSP00000419485	GCSAM	DOID:1612	Breast cancer	2.110	1.055	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419485&type2=-26&id2=DOID:1612
ENSP00000419494	RYBP	DOID:1612	Breast cancer	2.917	1.459	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419494&type2=-26&id2=DOID:1612
ENSP00000419502	LRRC75A	DOID:1612	Breast cancer	1.491	0.745	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419502&type2=-26&id2=DOID:1612
ENSP00000419545	GIMAP4	DOID:1612	Breast cancer	1.912	0.956	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419545&type2=-26&id2=DOID:1612
ENSP00000419599	DPH3	DOID:1612	Breast cancer	1.302	0.651	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419599&type2=-26&id2=DOID:1612
ENSP00000419628	NUDT5	DOID:1612	Breast cancer	3.311	1.655	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419628&type2=-26&id2=DOID:1612
ENSP00000419665	SSBP1	DOID:1612	Breast cancer	3.352	1.676	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419665&type2=-26&id2=DOID:1612
ENSP00000419692	RXRA	DOID:1612	Breast cancer	4.156	2.078	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419692&type2=-26&id2=DOID:1612
ENSP00000419712	MYMK	DOID:1612	Breast cancer	1.365	0.683	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419712&type2=-26&id2=DOID:1612
ENSP00000419740	NSUN4	DOID:1612	Breast cancer	3.127	1.563	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419740&type2=-26&id2=DOID:1612
ENSP00000419765	BRD9	DOID:1612	Breast cancer	3.505	1.753	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419765&type2=-26&id2=DOID:1612
ENSP00000419782	CDK5	DOID:1612	Breast cancer	4.567	2.284	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419782&type2=-26&id2=DOID:1612
ENSP00000419803	KLHL13	DOID:1612	Breast cancer	1.317	0.659	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419803&type2=-26&id2=DOID:1612
ENSP00000419851	GMPS	DOID:1612	Breast cancer	3.242	1.621	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419851&type2=-26&id2=DOID:1612
ENSP00000419881	RAD51B	DOID:1612	Breast cancer	4.818	2.409	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419881&type2=-26&id2=DOID:1612
ENSP00000419901	L1TD1	DOID:1612	Breast cancer	1.971	0.985	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419901&type2=-26&id2=DOID:1612
ENSP00000419923	KLF6	DOID:1612	Breast cancer	4.301	2.150	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419923&type2=-26&id2=DOID:1612
ENSP00000419945	ERVW-1	DOID:1612	Breast cancer	4.987	2.493	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419945&type2=-26&id2=DOID:1612
ENSP00000419952	KCNAB1	DOID:1612	Breast cancer	2.002	1.001	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419952&type2=-26&id2=DOID:1612
ENSP00000419970	POR	DOID:1612	Breast cancer	3.334	1.667	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419970&type2=-26&id2=DOID:1612
ENSP00000419975	PEX5L	DOID:1612	Breast cancer	1.179	0.590	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000419975&type2=-26&id2=DOID:1612
ENSP00000420009	HOXB6	DOID:1612	Breast cancer	3.172	1.586	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420009&type2=-26&id2=DOID:1612
ENSP00000420037	PIGP	DOID:1612	Breast cancer	1.579	0.790	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420037&type2=-26&id2=DOID:1612
ENSP00000420040	KCNIP2	DOID:1612	Breast cancer	1.176	0.588	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420040&type2=-26&id2=DOID:1612
ENSP00000420065	ABHD14B	DOID:1612	Breast cancer	1.877	0.939	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420065&type2=-26&id2=DOID:1612
ENSP00000420076	SERP1	DOID:1612	Breast cancer	2.080	1.040	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420076&type2=-26&id2=DOID:1612
ENSP00000420091	SLITRK3	DOID:1612	Breast cancer	1.281	0.640	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420091&type2=-26&id2=DOID:1612
ENSP00000420127	RAB9A	DOID:1612	Breast cancer	2.699	1.350	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420127&type2=-26&id2=DOID:1612
ENSP00000420161	B4GALT4	DOID:1612	Breast cancer	1.928	0.964	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420161&type2=-26&id2=DOID:1612
ENSP00000420168	GSTA2	DOID:1612	Breast cancer	2.640	1.320	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420168&type2=-26&id2=DOID:1612
ENSP00000420174	ERVFRD-1	DOID:1612	Breast cancer	4.866	2.433	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420174&type2=-26&id2=DOID:1612
ENSP00000420176	POLE4	DOID:1612	Breast cancer	2.094	1.047	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420176&type2=-26&id2=DOID:1612
ENSP00000420180	CCDC14	DOID:1612	Breast cancer	1.216	0.608	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420180&type2=-26&id2=DOID:1612
ENSP00000420182	IQCJ-SCHIP1	DOID:1612	Breast cancer	1.926	0.963	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420182&type2=-26&id2=DOID:1612
ENSP00000420194	CASR	DOID:1612	Breast cancer	3.707	1.854	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420194&type2=-26&id2=DOID:1612
ENSP00000420195	SRSF10	DOID:1612	Breast cancer	3.345	1.673	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420195&type2=-26&id2=DOID:1612
ENSP00000420200	ADPRH	DOID:1612	Breast cancer	2.092	1.046	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420200&type2=-26&id2=DOID:1612
ENSP00000420211	RGL2	DOID:1612	Breast cancer	1.556	0.778	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420211&type2=-26&id2=DOID:1612
ENSP00000420213	FLNB	DOID:1612	Breast cancer	3.879	1.940	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420213&type2=-26&id2=DOID:1612
ENSP00000420267	NR6A1	DOID:1612	Breast cancer	3.249	1.625	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420267&type2=-26&id2=DOID:1612
ENSP00000420269	ADH7	DOID:1612	Breast cancer	2.854	1.427	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420269&type2=-26&id2=DOID:1612
ENSP00000420270	UHMK1	DOID:1612	Breast cancer	2.547	1.274	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420270&type2=-26&id2=DOID:1612
ENSP00000420294	PHC3	DOID:1612	Breast cancer	3.991	1.996	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420294&type2=-26&id2=DOID:1612
ENSP00000420295	PDE6B	DOID:1612	Breast cancer	1.925	0.963	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420295&type2=-26&id2=DOID:1612
ENSP00000420298	CD200	DOID:1612	Breast cancer	3.993	1.996	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420298&type2=-26&id2=DOID:1612
ENSP00000420306	THOC5	DOID:1612	Breast cancer	2.243	1.122	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420306&type2=-26&id2=DOID:1612
ENSP00000420311	RPL23	DOID:1612	Breast cancer	1.470	0.735	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420311&type2=-26&id2=DOID:1612
ENSP00000420321	ROBO1	DOID:1612	Breast cancer	4.261	2.131	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420321&type2=-26&id2=DOID:1612
ENSP00000420357	RWDD1	DOID:1612	Breast cancer	1.297	0.648	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420357&type2=-26&id2=DOID:1612
ENSP00000420384	CST7	DOID:1612	Breast cancer	2.718	1.359	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420384&type2=-26&id2=DOID:1612
ENSP00000420387	ATP11A	DOID:1612	Breast cancer	1.837	0.918	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420387&type2=-26&id2=DOID:1612
ENSP00000420418	ZNF398	DOID:1612	Breast cancer	2.226	1.113	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420418&type2=-26&id2=DOID:1612
ENSP00000420443	CNIH4	DOID:1612	Breast cancer	1.904	0.952	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420443&type2=-26&id2=DOID:1612
ENSP00000420449	MGAM2	DOID:1612	Breast cancer	1.366	0.683	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420449&type2=-26&id2=DOID:1612
ENSP00000420465	RNF182	DOID:1612	Breast cancer	1.003	0.501	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420465&type2=-26&id2=DOID:1612
ENSP00000420477	NACAD	DOID:1612	Breast cancer	1.308	0.654	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420477&type2=-26&id2=DOID:1612
ENSP00000420484	OARD1	DOID:1612	Breast cancer	2.070	1.035	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420484&type2=-26&id2=DOID:1612
ENSP00000420525	TFR2	DOID:1612	Breast cancer	2.678	1.339	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420525&type2=-26&id2=DOID:1612
ENSP00000420588	TFAM	DOID:1612	Breast cancer	4.149	2.075	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420588&type2=-26&id2=DOID:1612
ENSP00000420608	EMC1	DOID:1612	Breast cancer	1.027	0.513	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420608&type2=-26&id2=DOID:1612
ENSP00000420612	TIPARP	DOID:1612	Breast cancer	4.046	2.023	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420612&type2=-26&id2=DOID:1612
ENSP00000420616	TFDP2	DOID:1612	Breast cancer	2.526	1.263	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420616&type2=-26&id2=DOID:1612
ENSP00000420617	MFN1	DOID:1612	Breast cancer	3.709	1.855	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420617&type2=-26&id2=DOID:1612
ENSP00000420641	SSR3	DOID:1612	Breast cancer	2.160	1.080	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420641&type2=-26&id2=DOID:1612
ENSP00000420658	TMEM14B	DOID:1612	Breast cancer	1.327	0.663	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420658&type2=-26&id2=DOID:1612
ENSP00000420659	KLHL29	DOID:1612	Breast cancer	1.157	0.578	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420659&type2=-26&id2=DOID:1612
ENSP00000420682	QTRT2	DOID:1612	Breast cancer	1.237	0.619	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420682&type2=-26&id2=DOID:1612
ENSP00000420714	MRPS14	DOID:1612	Breast cancer	1.176	0.588	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420714&type2=-26&id2=DOID:1612
ENSP00000420716	ARMH1	DOID:1612	Breast cancer	1.500	0.750	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420716&type2=-26&id2=DOID:1612
ENSP00000420826	PRB1	DOID:1612	Breast cancer	1.632	0.816	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420826&type2=-26&id2=DOID:1612
ENSP00000420840	PCDHA1	DOID:1612	Breast cancer	2.010	1.005	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420840&type2=-26&id2=DOID:1612
ENSP00000420849	NIM1K	DOID:1612	Breast cancer	1.671	0.836	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420849&type2=-26&id2=DOID:1612
ENSP00000420860	PRIMPOL	DOID:1612	Breast cancer	2.881	1.441	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420860&type2=-26&id2=DOID:1612
ENSP00000420875	RMND5B	DOID:1612	Breast cancer	1.174	0.587	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420875&type2=-26&id2=DOID:1612
ENSP00000420919	TMEM150C	DOID:1612	Breast cancer	1.116	0.558	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420919&type2=-26&id2=DOID:1612
ENSP00000420927	PDK2	DOID:1612	Breast cancer	3.861	1.931	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000420927&type2=-26&id2=DOID:1612
ENSP00000421021	HERC3-2	DOID:1612	Breast cancer	2.457	1.228	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421021&type2=-26&id2=DOID:1612
ENSP00000421048	SPINK13	DOID:1612	Breast cancer	1.155	0.578	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421048&type2=-26&id2=DOID:1612
ENSP00000421169	BEND4	DOID:1612	Breast cancer	1.801	0.901	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421169&type2=-26&id2=DOID:1612
ENSP00000421172	AWAT2	DOID:1612	Breast cancer	2.149	1.074	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421172&type2=-26&id2=DOID:1612
ENSP00000421180	MAML3	DOID:1612	Breast cancer	3.911	1.956	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421180&type2=-26&id2=DOID:1612
ENSP00000421258	ZNF154	DOID:1612	Breast cancer	2.083	1.041	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421258&type2=-26&id2=DOID:1612
ENSP00000421275	SLC10A7	DOID:1612	Breast cancer	1.115	0.558	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421275&type2=-26&id2=DOID:1612
ENSP00000421280	MYO10	DOID:1612	Breast cancer	3.543	1.771	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421280&type2=-26&id2=DOID:1612
ENSP00000421294	SH3D21	DOID:1612	Breast cancer	1.247	0.624	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421294&type2=-26&id2=DOID:1612
ENSP00000421326	ATP2C1	DOID:1612	Breast cancer	4.218	2.109	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421326&type2=-26&id2=DOID:1612
ENSP00000421339	SLCO6A1	DOID:1612	Breast cancer	5.417	2.709	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421339&type2=-26&id2=DOID:1612
ENSP00000421377	PIEZO2	DOID:1612	Breast cancer	2.814	1.407	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421377&type2=-26&id2=DOID:1612
ENSP00000421380	SNF8	DOID:1612	Breast cancer	1.807	0.904	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421380&type2=-26&id2=DOID:1612
ENSP00000421405	ROPN1L	DOID:1612	Breast cancer	1.818	0.909	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421405&type2=-26&id2=DOID:1612
ENSP00000421491	XRCC4	DOID:1612	Breast cancer	4.577	2.289	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421491&type2=-26&id2=DOID:1612
ENSP00000421566	XPNPEP1	DOID:1612	Breast cancer	1.260	0.630	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421566&type2=-26&id2=DOID:1612
ENSP00000421592	ALYREF	DOID:1612	Breast cancer	3.650	1.825	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421592&type2=-26&id2=DOID:1612
ENSP00000421710	GNGT2	DOID:1612	Breast cancer	2.029	1.015	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421710&type2=-26&id2=DOID:1612
ENSP00000421725	GC	DOID:1612	Breast cancer	3.649	1.825	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421725&type2=-26&id2=DOID:1612
ENSP00000421801	HGFAC	DOID:1612	Breast cancer	3.155	1.578	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421801&type2=-26&id2=DOID:1612
ENSP00000421842	ANAPC13	DOID:1612	Breast cancer	1.866	0.933	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421842&type2=-26&id2=DOID:1612
ENSP00000421853	RANBP3L	DOID:1612	Breast cancer	1.983	0.992	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421853&type2=-26&id2=DOID:1612
ENSP00000421861	MAGED4B	DOID:1612	Breast cancer	3.466	1.733	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421861&type2=-26&id2=DOID:1612
ENSP00000421863	ZNF827	DOID:1612	Breast cancer	1.026	0.513	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421863&type2=-26&id2=DOID:1612
ENSP00000421868	CCDC169-SOHLH2	DOID:1612	Breast cancer	1.965	0.983	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421868&type2=-26&id2=DOID:1612
ENSP00000421917	HMGXB3	DOID:1612	Breast cancer	1.404	0.702	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421917&type2=-26&id2=DOID:1612
ENSP00000421926	UIMC1	DOID:1612	Breast cancer	4.512	2.256	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421926&type2=-26&id2=DOID:1612
ENSP00000421981	PAQR3	DOID:1612	Breast cancer	2.694	1.347	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421981&type2=-26&id2=DOID:1612
ENSP00000421985	FNIP1	DOID:1612	Breast cancer	1.847	0.923	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000421985&type2=-26&id2=DOID:1612
ENSP00000422007	ACTN3	DOID:1612	Breast cancer	2.279	1.140	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000422007&type2=-26&id2=DOID:1612
ENSP00000422097	USP17L25	DOID:1612	Breast cancer	2.980	1.490	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000422097&type2=-26&id2=DOID:1612
ENSP00000422176	CAST	DOID:1612	Breast cancer	2.578	1.289	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000422176&type2=-26&id2=DOID:1612
ENSP00000422185	SORCS2	DOID:1612	Breast cancer	1.458	0.729	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000422185&type2=-26&id2=DOID:1612
ENSP00000422338	ATPSCKMT	DOID:1612	Breast cancer	1.460	0.730	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000422338&type2=-26&id2=DOID:1612
ENSP00000422354	GSTCD	DOID:1612	Breast cancer	1.057	0.529	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000422354&type2=-26&id2=DOID:1612
ENSP00000422375	NUDT16	DOID:1612	Breast cancer	2.360	1.180	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000422375&type2=-26&id2=DOID:1612
ENSP00000422431	TMEM158	DOID:1612	Breast cancer	2.605	1.303	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000422431&type2=-26&id2=DOID:1612
ENSP00000422435	RPS6KA2	DOID:1612	Breast cancer	4.592	2.296	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000422435&type2=-26&id2=DOID:1612
ENSP00000422464	PDGFC	DOID:1612	Breast cancer	4.174	2.087	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000422464&type2=-26&id2=DOID:1612
ENSP00000422473	TMEM33	DOID:1612	Breast cancer	1.670	0.835	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000422473&type2=-26&id2=DOID:1612
ENSP00000422533	ADGRL3	DOID:1612	Breast cancer	3.251	1.625	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000422533&type2=-26&id2=DOID:1612
ENSP00000422554	ADAMTS12	DOID:1612	Breast cancer	3.012	1.506	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=ENSP00000422554&type2=-26&id2=DOID:1612
